##ANSYS Fluent 24.1.0,,,
##,,,
##Generated on: 06:26:30,16-Sep-0024,,
##,,,
##Generated from case: FLTG.1-Setup-Output.cas.h5,,,
##,,,
[Name],,,
inlet_vel,,,
[Data],,,
x,y,z,u1
-0.005237015,0.003105579,-0.074906394,0.0108570055316258
-0.005675185,0.002875869,-0.074906394,0.0103951339644255
-0.005594587,0.003878398,-0.074906394,1.21716102883997e-05
-0.005279499,0.003197081,-0.074906394,0.00629524426742168
-0.00612211,0.00266284,-0.074906394,0.00515220188298515
-0.005714571,0.002972098,-0.074906394,0.00754582112708563
-0.005558486,0.003783568,-0.074906394,0.000150056351268256
-0.006064977,0.003702061,-0.074906394,1.56557984471498e-05
-0.005330301,0.003306536,-0.074906394,0.00235749491741281
-0.006580196,0.00247437,-0.074906394,0.0109941428720067
-0.006156232,0.002761104,-0.074906394,0.00432951091862393
-0.005761615,0.003087103,-0.074906394,0.00452146979316077
-0.005514883,0.003669074,-0.074906394,0.000341046751616232
-0.00603333,0.003603,-0.074906394,4.81977718951429e-05
-0.00654488,0.003553416,-0.074906394,0
-0.005329678,0.003447304,-0.074906394,0.00179019662129692
-0.005501305,0.00351839,-0.074906394,0.000589859114940142
-0.007050554,0.00231781,-0.074906394,0.0147413255145503
-0.006608326,0.002574536,-0.074906394,0.00879823886295083
-0.006196947,0.002878456,-0.074906394,0.0034433952222408
-0.005791445,0.003245429,-0.074906394,0.00113609382716667
-0.005995091,0.003483347,-0.074906394,0.000109973878112295
-0.006519183,0.003452644,-0.074906394,0
-0.007032951,0.003434628,-0.074906394,-0.000245614830292915
-0.007532655,0.002200614,-0.074906394,0.0189676028291332
-0.005976557,0.003323387,-0.074906394,0.000181585822332104
-0.007072111,0.002419601,-0.074906394,0.012985678243591
-0.006641861,0.002694084,-0.074906394,0.00658741588794866
-0.006235122,0.003047391,-0.074906394,0.00203917897482322
-0.006488121,0.003330881,-0.074906394,0
-0.007013604,0.003332428,-0.074906394,-0.000283850762316344
-0.007527845,0.003349596,-0.074906394,-0.000880558500856352
-0.008023618,0.002129277,-0.074906394,0.0228353351717911
-0.007547208,0.002303609,-0.074906394,0.0173362238563129
-0.006461588,0.003155255,-0.074906394,0.00125037295961494
-0.007097794,0.002541028,-0.074906394,0.0109270413461557
-0.006688492,0.002877034,-0.074906394,0.00463442234660316
-0.006990208,0.003208898,-0.074906394,0.000677680512365085
-0.007515248,0.003246324,-0.074906394,-0.000361079703069573
-0.008027535,0.003301936,-0.074906394,-0.00176912460335071
-0.008519012,0.002108277,-0.074906394,0.0216625934377326
-0.008030663,0.00223297,-0.074906394,0.0212524893984464
-0.007564539,0.002426427,-0.074906394,0.0153804060359602
-0.006956477,0.003015295,-0.074906394,0.00335567413131568
-0.00715139,0.00274002,-0.074906394,0.00781737430988114
-0.007500012,0.003121462,-0.074906394,0.00207646006412692
-0.00802196,0.003198043,-0.074906394,0.000311415290125325
-0.008529539,0.003292443,-0.074906394,-0.00245386670741637
-0.009014025,0.002138737,-0.074906394,0.0114598616689273
-0.008518091,0.002212106,-0.074906394,0.0211383430743543
-0.008039055,0.00235658,-0.074906394,0.0194018585630624
-0.00762277,0.002642433,-0.074906394,0.0120971052506521
-0.007460942,0.002908921,-0.074906394,0.0060635121221737
-0.009504222,0.002217737,-0.074906394,0.00712548933137216
-0.008015217,0.003072406,-0.074906394,0.00367937886820072
-0.00853103,0.003188431,-0.074906394,0.000604600126802713
-0.009031357,0.003319175,-0.074906394,-0.00209932066449975
-0.009005189,0.002242132,-0.074906394,0.013188460162361
-0.008517004,0.002335861,-0.074906394,0.0205029756219796
-0.008056319,0.002558512,-0.074906394,0.016487386353959
-0.007977989,0.00283708,-0.074906394,0.0097633449175064
-0.009985958,0.002339678,-0.074906394,0.00840624318208452
-0.009488071,0.002320227,-0.074906394,0.00994526675042246
-0.008532837,0.003062637,-0.074906394,0.00499786103879769
-0.009039904,0.00321552,-0.074906394,-1.4783247116435e-05
-0.009530475,0.003380301,-0.074906394,-0.00151560674211764
-0.008994679,0.002365403,-0.074906394,0.015149923044917
-0.008515276,0.002545436,-0.074906394,0.019401142578781
-0.008581042,0.002820782,-0.074906394,0.0135093861603802
-0.010457029,0.002497993,-0.074906394,0.0113683347594767
-0.00996314,0.0024409,-0.074906394,0.0111520389880267
-0.00946884,0.002442482,-0.074906394,0.0132273638003166
-0.009050245,0.003090154,-0.074906394,0.0044929001335162
-0.00954604,0.003277469,-0.074906394,-0.00179845464862416
-0.010024237,0.003475231,-0.074906394,-0.000571611349225894
-0.008941409,0.002597024,-0.074906394,0.0185867702498236
-0.009089885,0.002860947,-0.074906394,0.0127654495313895
-0.010917083,0.00268583,-0.074906394,0.0140917512624503
-0.010428093,0.002597692,-0.074906394,0.0137867305466729
-0.009935946,0.002561708,-0.074906394,0.0144891650403302
-0.009416598,0.002660304,-0.074906394,0.0188929502396446
-0.009564867,0.003153105,-0.074906394,0.00241959688098868
-0.01004667,0.003373685,-0.074906394,-0.000665885442390856
-0.010510212,0.003603409,-0.074906394,0.000279035026722709
-0.011367136,0.002896687,-0.074906394,0.00488452687498241
-0.009600386,0.002938695,-0.074906394,0.00963940198879889
-0.010882621,0.002783847,-0.074906394,0.0122493795275801
-0.010393579,0.002716748,-0.074906394,0.0142908030464216
-0.009887757,0.002765493,-0.074906394,0.0145975091939094
-0.010073806,0.00325089,-0.074906394,4.43745755984207e-05
-0.010539274,0.003503582,-0.074906394,0.000442019269751903
-0.010986725,0.00376321,-0.074906394,5.48210192214779e-06
-0.01180893,0.003125106,-0.074906394,0.000580703316627377
-0.011327782,0.002992957,-0.074906394,0.00246551621969865
-0.010104352,0.003051913,-0.074906394,0.00572452921473224
-0.010841474,0.002900969,-0.074906394,0.00980319594244698
-0.010351455,0.002907786,-0.074906394,0.00947142420986585
-0.012243981,0.003366777,-0.074906394,0.00482753478166029
-0.010574427,0.003382872,-0.074906394,0.000684228135112915
-0.01102217,0.003665485,-0.074906394,-0.000211806368656259
-0.011452724,0.003952194,-0.074906394,-2.51569740917553e-05
-0.011765454,0.003219704,-0.074906394,-0.00115659606768763
-0.011280748,0.003108074,-0.074906394,-0.000241875666038879
-0.010599558,0.003197669,-0.074906394,0.00278828651464801
-0.010805882,0.003082604,-0.074906394,0.00586584063085397
-0.012673198,0.00361877,-0.074906394,0.00779616728494544
-0.012197013,0.003459776,-0.074906394,0.005443736734758
-0.011065048,0.003547312,-0.074906394,-0.000738205473222021
-0.011494304,0.003856903,-0.074906394,-0.000267091488660602
-0.011907751,0.004168346,-0.074906394,0.00236241787388816
-0.011713444,0.0033329,-0.074906394,-0.00257989955859329
-0.011211345,0.003211342,-0.074906394,-0.00205875391250574
-0.01113209,0.003359422,-0.074906401,-0.00215219454482861
-0.013097321,0.003879573,-0.074906394,0.0108310699031708
-0.012623054,0.003710151,-0.074906394,0.00910893472594645
-0.012140818,0.003571132,-0.074906394,0.00587840568127438
-0.011544622,0.003741634,-0.074906394,-0.00114815507595348
-0.011955686,0.004076091,-0.074906394,0.00341459603750284
-0.01235101,0.004410455,-0.074906394,-0.00234297323909063
-0.011593509,0.003426359,-0.074906394,-0.00412297002238126
-0.011644134,0.003622834,-0.074906394,-0.00104891787133273
-0.013516854,0.004148263,-0.074906394,0.00775296369889647
-0.013044355,0.003969407,-0.074906394,0.00918832610027894
-0.012563057,0.003819635,-0.074906394,0.0103640342057294
-0.012038769,0.003679125,-0.074906394,0.00538695017473577
-0.01201375,0.003964389,-0.074906394,0.00490126539176537
-0.012406072,0.004322287,-0.074906394,-0.000815340846515008
-0.012780298,0.004677862,-0.074906394,-0.00526825153681864
-0.012103589,0.003864566,-0.074906394,0.00652618450917782
-0.013932054,0.004423951,-0.074906394,0.0142239688075056
-0.013461491,0.004236704,-0.074906394,0.00659717887617826
-0.012980909,0.00407707,-0.074906394,0.00646947688022163
-0.012473044,0.003918978,-0.074906394,0.00956731642621234
-0.012472843,0.004215391,-0.074906394,0.00157063325439973
-0.012842936,0.0045949,-0.074906394,-0.00548615775226867
-0.013192488,0.004971238,-0.074906394,-0.00123183687131316
-0.014343151,0.004705951,-0.074906394,0.0191789693157127
-0.012567969,0.004105055,-0.074906394,0.00468552652507221
-0.013874557,0.004511079,-0.074906394,0.0140374927422369
-0.013395115,0.004342727,-0.074906394,0.00460446882084325
-0.012855074,0.004121362,-0.074906394,0.00488898824492308
-0.012918958,0.004494187,-0.074906394,-0.00525538484507015
-0.013262762,0.004894611,-0.074906394,-0.000988731039262338
-0.01358271,0.005292913,-0.074906394,-0.000626510097785703
-0.014749989,0.004993889,-0.074906394,0.020328899283149
-0.014283638,0.004791756,-0.074906394,0.0168788836314385
-0.013026563,0.004362566,-0.074906394,-0.000444710427765497
-0.013805613,0.00461555,-0.074906394,0.0101631664219262
-0.013324465,0.004427613,-0.074906394,0.00216654440800644
-0.013348118,0.004801476,-0.074906394,0.000219584078149787
-0.013943776,0.005646087,-0.074906394,0.00104232194867805
-0.013660491,0.005223795,-0.074906394,-0.000643706894894338
-0.015151975,0.005287919,-0.074906394,0.0235686232270456
-0.015548345,0.005588873,-0.074906394,0.0262517107961104
-0.014688436,0.005078253,-0.074906394,0.0207044102649782
-0.014212283,0.004894642,-0.074906394,0.0137295924880624
-0.013402465,0.004629342,-0.074906394,0.00211141275913322
-0.013769941,0.004780024,-0.074906394,0.00607256208910131
-0.014267355,0.00603415,-0.074906394,0.00208103226212185
-0.01375505,0.005139676,-0.074906394,-0.000634994703919836
