##ANSYS Fluent 24.1.0,,,
##,,,
##Generated on: 06:26:30,16-Sep-0024,,
##,,,
##Generated from case: FLTG.1-Setup-Output.cas.h5,,,
##,,,
[Name],,,
inlet_vel,,,
[Data],,,
x,y,z,u1
-0.005237015,0.003105579,-0.074906394,-0.00401039946365848
-0.005675185,0.002875869,-0.074906394,-0.00469378914656505
-0.005594587,0.003878398,-0.074906394,-2.06816531581716e-06
-0.005279499,0.003197081,-0.074906394,-0.00162153926214276
-0.00612211,0.00266284,-0.074906394,-0.00701508316367596
-0.005714571,0.002972098,-0.074906394,-0.00359773418218156
-0.005558486,0.003783568,-0.074906394,-2.54971473582964e-05
-0.006064977,0.003702061,-0.074906394,-2.66018863343648e-06
-0.005330301,0.003306536,-0.074906394,0.000117581625986503
-0.006580196,0.00247437,-0.074906394,-0.00347707616897552
-0.006156232,0.002761104,-0.074906394,-0.00582244758351152
-0.005761615,0.003087103,-0.074906394,-0.00227893730986781
-0.005514883,0.003669074,-0.074906394,-5.79496916227291e-05
-0.00603333,0.003603,-0.074906394,-8.18962797619341e-06
-0.00654488,0.003553416,-0.074906394,0
-0.005329678,0.003447304,-0.074906394,8.9862242828873e-05
-0.005501305,0.00351839,-0.074906394,-0.000100227178970762
-0.007050554,0.00231781,-0.074906394,-0.00104561952867653
-0.006608326,0.002574536,-0.074906394,-0.00397899766970669
-0.006196947,0.002878456,-0.074906394,-0.0043656116750163
-0.005791445,0.003245429,-0.074906394,-0.000456290692207089
-0.005995091,0.003483347,-0.074906394,-1.86864478050633e-05
-0.006519183,0.003452644,-0.074906394,0
-0.007032951,0.003434628,-0.074906394,0.000131153066335352
-0.007532655,0.002200614,-0.074906394,-0.00386455672403893
-0.005976557,0.003323387,-0.074906394,-3.08545451828437e-05
-0.007072111,0.002419601,-0.074906394,-0.00142884959464074
-0.006641861,0.002694084,-0.074906394,-0.00423585041276592
-0.006235122,0.003047391,-0.074906394,-0.00244593390988844
-0.006488121,0.003330881,-0.074906394,0
-0.007013604,0.003332428,-0.074906394,0.000151570236272047
-0.007527845,0.003349596,-0.074906394,0.000470199406677695
-0.008023618,0.002129277,-0.074906394,-0.0117510782678752
-0.007547208,0.002303609,-0.074906394,-0.0034870515564546
-0.006461588,0.003155255,-0.074906394,-0.00107144720539471
-0.007097794,0.002541028,-0.074906394,-0.00184667467629802
-0.006688492,0.002877034,-0.074906394,-0.00275373921564461
-0.006990208,0.003208898,-0.074906394,-0.000183697704245806
-0.007515248,0.003246324,-0.074906394,0.00042277790443281
-0.008027535,0.003301936,-0.074906394,0.000736504088268913
-0.008519012,0.002108277,-0.074906394,-0.0158894516161184
-0.008030663,0.00223297,-0.074906394,-0.0102109662246024
-0.007564539,0.002426427,-0.074906394,-0.00290626572610593
-0.006956477,0.003015295,-0.074906394,-0.001208972170385
-0.00715139,0.00274002,-0.074906394,-0.00184043323368527
-0.007500012,0.003121462,-0.074906394,1.94050028660786e-05
-0.00802196,0.003198043,-0.074906394,0.000234992548708334
-0.008529539,0.003292443,-0.074906394,1.83408141709129e-05
-0.009014025,0.002138737,-0.074906394,-0.00943859761308301
-0.008518091,0.002212106,-0.074906394,-0.0150673392864967
-0.008039055,0.00235658,-0.074906394,-0.00839840448423027
-0.00762277,0.002642433,-0.074906394,-0.00155205166131206
-0.007460942,0.002908921,-0.074906394,-0.000668765726732523
-0.009504222,0.002217737,-0.074906394,-0.00908636803000046
-0.008015217,0.003072406,-0.074906394,-0.000570369719093701
-0.00853103,0.003188431,-0.074906394,-0.00170348625021009
-0.009031357,0.003319175,-0.074906394,-0.0044040662738474
-0.009005189,0.002242132,-0.074906394,-0.0117936069282569
-0.008517004,0.002335861,-0.074906394,-0.0140721851840241
-0.008056319,0.002558512,-0.074906394,-0.0055443304861131
-0.007977989,0.00283708,-0.074906394,-0.00167435740850873
-0.009985958,0.002339678,-0.074906394,-0.0132868230713965
-0.009488071,0.002320227,-0.074906394,-0.0133366648534482
-0.008532837,0.003062637,-0.074906394,-0.0041328463407969
-0.009039904,0.00321552,-0.074906394,-0.00653297954915367
-0.009530475,0.003380301,-0.074906394,-0.00651740478223981
-0.008994679,0.002365403,-0.074906394,-0.0144555000965511
-0.008515276,0.002545436,-0.074906394,-0.012350841548193
-0.008581042,0.002820782,-0.074906394,-0.0095947306605143
-0.010457029,0.002497993,-0.074906394,-0.0174329283668192
-0.00996314,0.0024409,-0.074906394,-0.0177262924209924
-0.00946884,0.002442482,-0.074906394,-0.0182533482521189
-0.009050245,0.003090154,-0.074906394,-0.0101428015333797
-0.00954604,0.003277469,-0.074906394,-0.00793558340010122
-0.010024237,0.003475231,-0.074906394,-0.00524500213903175
-0.008941409,0.002597024,-0.074906394,-0.0185110962242951
-0.009089885,0.002860947,-0.074906394,-0.0171743402790898
-0.010917083,0.00268583,-0.074906394,-0.0201884224988502
-0.010428093,0.002597692,-0.074906394,-0.0212744468039429
-0.009935946,0.002561708,-0.074906394,-0.0231258716921698
-0.009416598,0.002660304,-0.074906394,-0.0263855486583639
-0.009564867,0.003153105,-0.074906394,-0.0122194261314962
-0.01004667,0.003373685,-0.074906394,-0.00648307819539031
-0.010510212,0.003603409,-0.074906394,-0.00335940174383337
-0.011367136,0.002896687,-0.074906394,-0.0138260810591728
-0.009600386,0.002938695,-0.074906394,-0.0197491724125832
-0.010882621,0.002783847,-0.074906394,-0.0185602931507875
-0.010393579,0.002716748,-0.074906394,-0.0227330885946771
-0.009887757,0.002765493,-0.074906394,-0.0249809084697947
-0.010073806,0.00325089,-0.074906394,-0.00845096650641186
-0.010539274,0.003503582,-0.074906394,-0.00455536453785694
-0.010986725,0.00376321,-0.074906394,-0.00189034226757724
-0.01180893,0.003125106,-0.074906394,-0.0120643075816648
-0.011327782,0.002992957,-0.074906394,-0.0141980366920509
-0.010104352,0.003051913,-0.074906394,-0.0144815609445716
-0.010841474,0.002900969,-0.074906394,-0.016094455412068
-0.010351455,0.002907786,-0.074906394,-0.0175532656543768
-0.012243981,0.003366777,-0.074906394,-0.00717060803819135
-0.010574427,0.003382872,-0.074906394,-0.00601209671714207
-0.01102217,0.003665485,-0.074906394,-0.00358187439035298
-0.011452724,0.003952194,-0.074906394,-3.59525697924844e-05
-0.011765454,0.003219704,-0.074906394,-0.0128935732069392
-0.011280748,0.003108074,-0.074906394,-0.0141010757615188
-0.010599558,0.003197669,-0.074906394,-0.00933115011859007
-0.010805882,0.003082604,-0.074906394,-0.0119927872877104
-0.012673198,0.00361877,-0.074906394,-0.00330090102432408
-0.012197013,0.003459776,-0.074906394,-0.00688905272626214
-0.011065048,0.003547312,-0.074906394,-0.00587188153890001
-0.011494304,0.003856903,-0.074906394,-0.00101790977865354
-0.011907751,0.004168346,-0.074906394,-0.00201554024537649
-0.011713444,0.0033329,-0.074906394,-0.0127760238125398
-0.011211345,0.003211342,-0.074906394,-0.0131705167811701
-0.01113209,0.003359422,-0.074906401,-0.0100481142312797
-0.013097321,0.003879573,-0.074906394,-0.0155552218040221
-0.012623054,0.003710151,-0.074906394,-0.00309127754806523
-0.012140818,0.003571132,-0.074906394,-0.00653273181432532
-0.011544622,0.003741634,-0.074906394,-0.00433199744537604
-0.011955686,0.004076091,-0.074906394,-0.00279964743433469
-0.01235101,0.004410455,-0.074906394,0.00124751956843608
-0.011593509,0.003426359,-0.074906394,-0.0119995566806597
-0.011644134,0.003622834,-0.074906394,-0.00723077071535354
-0.013516854,0.004148263,-0.074906394,-0.0169451519258116
-0.013044355,0.003969407,-0.074906394,-0.0126926245650414
-0.012563057,0.003819635,-0.074906394,-0.00281982454945798
-0.012038769,0.003679125,-0.074906394,-0.0062057453624591
-0.01201375,0.003964389,-0.074906394,-0.00389836336093854
-0.012406072,0.004322287,-0.074906394,0.00085508931874137
-0.012780298,0.004677862,-0.074906394,0.00149117047991664
-0.012103589,0.003864566,-0.074906394,-0.00492770978338048
-0.013932054,0.004423951,-0.074906394,-0.021853847952907
-0.013461491,0.004236704,-0.074906394,-0.0163796949950985
-0.012980909,0.00407707,-0.074906394,-0.00905792908141399
-0.012473044,0.003918978,-0.074906394,-0.00259988948561038
-0.012472843,0.004215391,-0.074906394,0.000307012814079903
-0.012842936,0.0045949,-0.074906394,0.000518582926843578
-0.013192488,0.004971238,-0.074906394,-0.00227905086227349
-0.014343151,0.004705951,-0.074906394,-0.0115145938507342
-0.012567969,0.004105055,-0.074906394,-0.000177096456574195
-0.013874557,0.004511079,-0.074906394,-0.0258186767625945
-0.013395115,0.004342727,-0.074906394,-0.0147424748628525
-0.012855074,0.004121362,-0.074906394,-0.00468124193381836
-0.012918958,0.004494187,-0.074906394,-0.0012241043395856
-0.013262762,0.004894611,-0.074906394,-0.00382826244251979
-0.01358271,0.005292913,-0.074906394,-0.00289903529154641
-0.014749989,0.004993889,-0.074906394,-0.0194228107262579
-0.014283638,0.004791756,-0.074906394,-0.0150497347288484
-0.013026563,0.004362566,-0.074906394,-0.0059178924228024
-0.013805613,0.00461555,-0.074906394,-0.0211677540243107
-0.013324465,0.004427613,-0.074906394,-0.0122768136102162
-0.013348118,0.004801476,-0.074906394,-0.00675473569416162
-0.013943776,0.005646087,-0.074906394,-0.0026113285935296
-0.013660491,0.005223795,-0.074906394,-0.00401415778488522
-0.015151975,0.005287919,-0.074906394,-0.0258287980995681
-0.015548345,0.005588873,-0.074906394,-0.051525701543742
-0.014688436,0.005078253,-0.074906394,-0.0246816760245771
-0.014212283,0.004894642,-0.074906394,-0.0173133652004905
-0.013402465,0.004629342,-0.074906394,-0.0109726015680005
-0.013769941,0.004780024,-0.074906394,-0.0155267319381514
-0.014267355,0.00603415,-0.074906394,-0.00340122363435106
